Operacao,Ocupacao
0,1
1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
9,10
10,11
11,12
12,13
13,14
14,15
15,16
16,17
17,18
18,19
19,20
20,21
21,22
22,23
23,24
24,25
25,26
26,27
27,28
28,29
29,30
30,31
31,32
32,33
33,34
34,35
35,36
36,37
37,38
38,39
39,40
40,41
41,42
42,43
43,44
44,45
45,46
46,47
47,48
48,49
49,50
50,51
51,52
52,53
53,54
54,55
55,56
56,57
57,58
58,59
59,60
60,61
61,62
62,63
63,64
64,65
65,66
66,67
67,68
68,69
69,70
70,71
71,72
72,73
73,74
74,75
75,76
76,77
77,78
78,79
79,80
80,81
81,82
82,83
83,84
84,85
85,86
86,87
87,88
88,89
89,90
90,91
91,92
92,93
93,94
94,95
95,96
96,97
97,98
98,99
99,100
100,99
101,98
102,97
103,96
104,97
105,96
106,97
107,96
108,97
109,98
110,99
111,98
112,97
113,96
114,97
115,98
116,99
117,98
118,97
119,96
120,95
121,94
122,93
123,92
124,91
125,90
126,89
127,88
128,87
129,86
130,85
131,86
132,85
133,84
134,85
135,86
136,87
137,88
138,89
139,90
140,89
141,90
142,91
143,92
144,93
145,92
146,93
147,94
148,95
149,96
150,95
151,96
152,97
153,98
154,99
155,98
156,99
157,98
158,99
159,98
160,99
161,98
162,99
163,98
164,99
165,100
166,99
167,98
168,97
169,96
170,97
171,98
172,97
173,96
174,97
175,98
176,99
177,98
178,99
179,98
180,97
181,98
182,99
183,100
184,99
185,98
186,99
187,98
188,99
189,100
190,99
191,98
192,99
193,100
194,99
195,98
196,99
197,98
198,99
199,100
200,99
201,98
202,99
203,100
204,99
205,100
206,99
207,98
208,99
209,100
210,99
211,100
212,99
213,98
214,99
215,100
216,99
217,100
218,99
219,98
220,99
221,100
222,99
223,100
224,99
225,100
226,99
227,98
228,99
229,100
230,99
231,98
232,99
233,100
234,99
235,98
236,99
237,98
238,99
239,98
240,99
241,100
242,99
243,98
244,99
245,98
246,97
247,96
248,95
249,94
250,93
251,92
252,91
253,90
254,91
255,92
256,93
257,94
258,95
259,96
260,97
261,98
262,99
263,98
264,97
265,98
266,99
267,100
268,99
269,98
270,99
271,100
272,99
273,98
274,97
275,98
276,99
277,98
278,99
279,100
280,99
281,100
282,99
283,98
284,99
285,100
286,99
287,100
288,99
289,98
290,97
291,98
292,99
293,100
294,99
295,98
296,99
297,100
298,99
299,98
300,99
301,98
302,99
303,100
304,99
305,100
306,99
307,98
308,99
309,98
310,99
311,100
312,99
313,100
314,99
315,98
316,99
317,98
318,99
319,100
320,99
321,98
322,99
323,100
324,99
325,98
326,99
327,100
328,99
329,100
330,99
331,98
332,97
333,98
334,99
335,100
336,99
337,98
338,99
339,100
340,99
341,100
342,99
343,98
344,99
345,100
346,99
347,98
348,97
349,96
350,95
351,94
352,93
353,92
354,91
355,92
356,91
357,90
358,89
359,88
360,87
361,86
362,85
363,84
364,83
365,84
366,85
367,84
368,85
369,86
370,87
371,88
372,89
373,90
374,91
375,92
376,91
377,92
378,93
379,94
380,95
381,96
382,97
383,98
384,99
385,98
386,99
387,98
388,99
389,98
390,99
391,98
392,99
393,98
394,97
395,98
396,97
397,98
398,97
399,98
400,99
401,100
402,99
403,100
404,99
405,100
406,99
407,100
408,99
409,98
410,97
411,96
412,97
413,98
414,99
415,98
416,99
417,100
418,99
419,98
420,99
421,98
422,97
423,98
424,99
425,98
426,99
427,98
428,99
429,98
430,99
431,100
432,99
433,98
434,99
435,98
436,97
437,96
438,95
439,94
440,93
441,92
442,91
443,90
444,89
445,88
446,87
447,86
448,87
449,88
450,89
451,90
452,91
453,92
454,93
455,94
456,93
457,94
458,95
459,96
460,97
461,98
462,99
463,98
464,99
465,98
466,99
467,98
468,99
469,98
470,99
471,98
472,99
473,98
474,99
475,98
476,99
477,98
478,99
479,100
480,99
481,100
482,99
483,98
484,99
485,100
486,99
487,98
488,99
489,98
490,99
491,98
492,99
493,98
494,99
495,98
496,97
497,98
498,99
499,100
500,99
501,98
502,99
503,100
504,99
505,100
506,99
507,98
508,97
509,98
510,99
511,100
512,99
513,100
514,99
515,100
516,99
517,98
518,99
519,100
520,99
521,100
522,99
523,98
524,99
525,100
526,99
527,100
528,99
529,100
530,99
531,98
532,99
533,100
534,99
535,100
536,99
537,98
538,99
539,98
540,99
541,98
542,99
543,98
544,99
545,100
546,99
547,98
548,97
549,98
550,99
551,98
552,97
553,98
554,99
555,100
556,99
557,98
558,99
559,98
560,99
561,100
562,99
563,100
564,99
565,98
566,97
567,98
568,99
569,100
570,99
571,98
572,97
573,98
574,99
575,100
576,99
577,98
578,99
579,98
580,99
581,100
582,99
583,98
584,97
585,98
586,97
587,98
588,99
589,100
590,99
591,100
592,99
593,98
594,99
595,98
596,99
597,98
598,97
599,98
600,99
601,100
602,99
603,98
604,99
605,98
606,99
607,98
608,99
609,100
610,99
611,98
612,99
613,98
614,99
615,100
616,99
617,98
618,99
619,100
620,99
621,98
622,97
623,98
624,99
625,98
626,99
627,100
628,99
629,98
630,99
631,100
632,99
633,98
634,97
635,98
636,97
637,98
638,99
639,98
640,99
641,98
642,97
643,98
644,99
645,98
646,99
647,100
648,99
649,98
650,99
651,100
652,99
653,98
654,99
655,100
656,99
657,98
658,99
659,100
660,99
661,98
662,97
663,96
664,95
665,94
666,93
667,92
668,91
669,92
670,93
671,94
672,95
673,96
674,97
675,96
676,97
677,98
678,99
679,98
680,97
681,96
682,97
683,98
684,99
685,98
686,97
687,98
688,99
689,98
690,99
691,98
692,99
693,100
694,99
695,100
696,99
697,100
698,99
699,98
700,99
701,100
702,99
703,98
704,99
705,98
706,99
707,100
708,99
709,98
710,99
711,100
712,99
713,98
714,99
715,98
716,99
717,98
718,99
719,100
720,99
721,100
722,99
723,98
724,97
725,96
726,97
727,96
728,95
729,96
730,97
731,96
732,97
733,98
734,99
735,100
736,99
737,98
738,97
739,96
740,97
741,98
742,97
743,98
744,99
745,100
746,99
747,98
748,99
749,98
750,99
751,100
752,99
753,100
754,99
755,98
756,99
757,98
758,99
759,98
760,99
761,100
762,99
763,100
764,99
765,98
766,99
767,100
768,99
769,98
770,99
771,100
772,99
773,100
774,99
775,98
776,99
777,100
778,99
779,98
780,99
781,100
782,99
783,98
784,99
785,100
786,99
787,100
788,99
789,98
790,99
791,100
792,99
793,98
794,99
795,98
796,97
797,98
798,99
799,100
800,99
801,100
802,99
803,98
804,99
805,98
806,97
807,96
808,95
809,94
810,93
811,92
812,91
813,90
814,89
815,88
816,87
817,86
818,85
819,84
820,83
821,82
822,81
823,80
824,79
825,78
826,77
827,76
828,75
829,76
830,75
831,76
832,77
833,78
834,77
835,78
836,79
837,78
838,79
839,80
840,81
841,82
842,83
843,84
844,85
845,86
846,85
847,86
848,87
849,88
850,89
851,90
852,91
853,92
854,93
855,92
856,93
857,94
858,95
859,96
860,97
861,98
862,99
863,98
864,99
865,98
866,97
867,96
868,97
869,96
870,97
871,96
872,97
873,98
874,97
875,98
876,99
877,100
878,99
879,98
880,99
881,100
882,99
883,98
884,99
885,98
886,97
887,98
888,97
889,98
890,99
891,98
892,99
893,98
894,99
895,98
896,99
897,98
898,99
899,100
900,99
901,98
902,99
903,98
904,97
905,98
906,99
907,100
908,99
909,100
910,99
911,100
912,99
913,100
914,99
915,100
916,99
917,98
918,99
919,98
920,99
921,100
922,99
923,98
924,99
925,100
926,99
927,100
928,99
929,98
930,99
931,98
932,99
933,98
934,99
935,98
936,99
937,100
938,99
939,98
940,97
941,96
942,95
943,94
944,95
945,94
946,95
947,96
948,95
949,96
950,97
951,98
952,99
953,100
954,99
955,98
956,97
957,96
958,97
959,98
960,99
961,98
