Operacao,Ocupacao
0,1
1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
9,10
10,11
11,12
12,13
13,14
14,15
15,16
16,17
17,18
18,19
19,20
20,21
21,22
22,23
23,24
24,25
25,26
26,27
27,28
28,29
29,30
30,31
31,32
32,33
33,34
34,35
35,36
36,37
37,38
38,39
39,40
40,41
41,42
42,43
43,44
44,45
45,46
46,47
47,48
48,49
49,50
50,51
51,52
52,53
53,54
54,55
55,56
56,57
57,58
58,59
59,60
60,61
61,62
62,63
63,64
64,65
65,66
66,67
67,68
68,69
69,70
70,71
71,72
72,73
73,74
74,75
75,76
76,77
77,78
78,79
79,80
80,81
81,82
82,83
83,84
84,85
85,86
86,87
87,88
88,89
89,90
90,91
91,92
92,93
93,94
94,95
95,96
96,97
97,98
98,99
99,100
100,99
101,98
102,97
103,96
104,95
105,94
106,93
107,92
108,91
109,90
110,89
111,88
112,87
113,86
114,85
115,84
116,83
117,82
118,81
119,80
120,79
121,78
122,77
123,76
124,75
125,74
126,73
127,72
128,71
129,70
130,69
131,68
132,67
133,66
134,65
135,64
136,63
137,62
138,61
139,60
140,59
141,58
142,57
143,56
144,57
145,56
146,57
147,58
148,57
149,58
150,59
151,58
152,59
153,60
154,59
155,60
156,61
157,62
158,61
159,62
160,63
161,64
162,63
163,64
164,65
165,66
166,65
167,66
168,67
169,68
170,69
171,68
172,69
173,70
174,71
175,72
176,71
177,72
178,73
179,74
180,75
181,74
182,75
183,76
184,77
185,78
186,77
187,78
188,79
189,80
190,81
191,80
192,81
193,82
194,83
195,84
196,83
197,84
198,85
199,86
200,87
201,86
202,87
203,88
204,89
205,90
206,89
207,90
208,91
209,92
210,93
211,92
212,93
213,94
214,95
215,96
216,95
217,96
218,97
219,98
220,99
221,98
222,99
223,98
224,97
225,96
226,95
227,94
228,93
229,92
230,91
231,90
232,89
233,88
234,87
235,86
236,85
237,84
238,83
239,82
240,81
241,80
242,79
243,78
244,77
245,76
246,75
247,74
248,73
249,72
250,71
251,70
252,69
253,70
254,69
255,70
256,69
257,68
258,67
259,66
260,65
261,64
262,65
263,64
264,65
265,64
266,65
267,66
268,67
269,68
270,67
271,68
272,69
273,70
274,71
275,70
276,71
277,72
278,73
279,74
280,73
281,74
282,75
283,76
284,77
285,76
286,77
287,78
288,79
289,80
290,79
291,80
292,81
293,82
294,83
295,82
296,83
297,84
298,85
299,86
300,85
301,86
302,87
303,88
304,89
305,88
306,89
307,90
308,91
309,92
310,91
311,92
312,93
313,94
314,95
315,94
316,95
317,96
318,97
319,98
320,97
321,98
322,99
323,98
324,99
325,98
326,97
327,96
328,95
329,94
330,93
331,92
332,91
333,90
334,89
335,88
336,87
337,86
338,85
339,84
340,83
341,82
342,81
343,80
344,79
345,78
346,77
347,76
348,75
349,74
350,73
351,72
352,71
353,70
354,69
355,68
356,67
357,66
358,65
359,64
360,63
361,62
362,61
363,60
364,59
365,58
366,57
367,56
368,55
369,54
370,53
371,52
372,51
373,50
374,49
375,48
376,47
377,46
378,45
379,44
380,45
381,44
382,45
383,46
384,47
385,46
386,47
387,48
388,49
389,50
390,49
391,50
392,51
393,52
394,53
395,52
396,53
397,54
398,55
399,56
400,55
401,56
402,57
403,58
404,59
405,58
406,59
407,60
408,61
409,62
410,61
411,62
412,63
413,64
414,65
415,64
416,65
417,66
418,67
419,68
420,67
421,68
422,69
423,70
424,71
425,70
426,71
427,72
428,73
429,74
430,73
431,74
432,75
433,76
434,77
435,76
436,77
437,78
438,79
439,80
440,79
441,80
442,81
443,82
444,83
445,82
446,83
447,84
448,85
449,86
450,85
451,86
452,87
453,88
454,89
455,88
456,89
457,90
458,91
459,92
460,91
461,92
462,93
463,94
464,95
465,94
466,95
467,96
468,97
469,98
470,97
471,98
472,99
473,98
474,97
475,96
476,95
477,94
478,93
479,92
480,91
481,90
482,89
483,88
484,87
485,86
486,85
487,84
488,83
489,82
490,81
491,80
492,79
493,78
494,77
495,76
496,75
497,74
498,73
499,72
500,71
501,70
502,69
503,68
504,67
505,66
506,65
507,64
508,63
509,62
510,61
511,60
512,59
513,58
514,59
515,58
516,57
517,56
518,57
519,56
520,57
521,56
522,57
523,58
524,59
525,58
526,59
527,60
528,61
529,62
530,61
531,62
532,63
533,64
534,65
535,64
536,65
537,66
538,67
539,68
540,67
541,68
542,69
543,70
544,71
545,70
546,71
547,72
548,73
549,74
550,73
551,74
552,75
553,76
554,77
555,76
556,77
557,78
558,79
559,80
560,79
561,80
562,81
563,82
564,83
565,82
566,83
567,84
568,85
569,86
570,85
571,86
572,87
573,88
574,89
575,88
576,89
577,90
578,91
579,92
580,91
581,92
582,93
583,94
584,95
585,94
586,95
587,96
588,97
589,98
590,97
591,98
592,99
593,98
594,99
595,98
596,97
597,96
598,95
599,94
600,93
601,92
602,91
603,90
604,89
605,88
606,87
607,86
608,85
609,84
610,83
611,82
612,81
613,80
614,79
615,78
616,77
617,76
618,75
619,74
620,73
621,72
622,71
623,70
624,69
625,68
626,67
627,66
628,65
629,64
630,63
631,62
632,61
633,60
634,59
635,58
636,57
637,56
638,55
639,54
640,53
641,52
642,51
643,50
644,49
645,48
646,47
647,46
648,45
649,44
650,43
651,42
652,41
653,40
654,39
655,38
656,37
657,36
658,35
659,34
660,33
661,32
662,31
663,30
664,29
665,28
666,27
667,26
668,25
669,24
670,23
671,22
672,21
673,20
674,19
675,18
676,17
677,16
678,15
679,14
680,13
681,12
682,11
683,10
684,9
685,8
686,7
687,6
688,5
689,4
690,3
691,2
692,1
693,0
694,1
695,2
696,3
697,4
698,5
699,6
700,7
701,8
702,9
703,10
704,11
705,12
706,13
707,14
708,15
709,16
710,17
711,18
712,19
713,20
714,21
715,22
716,23
717,24
718,25
719,26
720,27
721,28
722,29
723,30
724,31
725,32
726,33
727,34
728,35
729,36
730,37
731,38
732,39
733,40
734,41
735,42
736,43
737,44
738,45
739,46
740,47
741,48
742,49
743,50
744,51
745,52
746,53
747,54
748,55
749,56
750,57
751,58
752,59
753,60
754,61
755,62
756,63
757,64
758,65
759,66
760,67
761,68
762,69
763,68
764,69
765,70
766,71
767,72
768,71
769,72
770,73
771,74
772,75
773,74
774,75
775,76
776,77
777,78
778,77
779,78
780,79
781,80
782,81
783,80
784,81
785,82
786,83
787,84
788,83
789,84
790,85
791,86
792,87
793,86
794,87
795,88
796,89
797,90
798,89
799,90
800,91
801,92
802,93
803,92
804,93
805,94
806,95
807,96
808,95
809,96
810,97
811,98
812,99
813,98
814,99
815,98
816,97
817,96
818,95
819,94
820,93
821,92
822,91
823,90
824,89
825,88
826,87
827,86
828,85
829,84
830,83
831,82
832,81
833,80
834,79
835,78
836,77
837,76
838,75
839,74
840,73
841,72
842,71
843,70
844,69
845,68
846,67
847,66
848,65
849,64
850,63
851,62
852,61
853,60
854,59
855,58
856,57
857,56
858,55
859,54
860,53
861,52
862,51
863,50
864,49
865,48
866,47
867,46
868,45
869,44
870,43
871,42
872,41
873,40
874,39
875,38
876,37
877,36
878,35
879,34
880,33
881,32
882,31
883,30
884,29
885,28
886,27
887,26
888,25
889,24
890,23
891,22
892,21
893,20
894,19
895,18
896,17
897,16
898,15
899,14
900,13
901,12
902,11
903,10
904,9
905,8
906,7
907,6
908,5
909,4
910,3
911,2
912,1
913,0
914,1
915,2
916,3
917,4
918,5
919,6
920,7
921,8
922,9
923,10
924,11
925,12
926,13
927,14
928,15
929,16
930,17
931,18
932,19
933,20
934,21
935,22
936,23
937,24
938,25
939,26
940,27
941,28
942,29
943,30
944,31
945,32
946,33
947,34
948,35
949,36
950,37
951,38
952,39
953,40
954,41
955,42
956,43
957,44
958,45
959,46
960,47
961,48
