Operacao,Ocupacao
0,1
1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
9,10
10,9
11,8
12,7
13,6
14,5
15,4
16,3
17,2
18,1
19,0
20,1
21,2
22,3
23,4
24,5
25,6
26,7
27,8
28,9
29,10
30,9
31,8
32,7
33,6
34,5
35,4
36,3
37,2
38,1
39,0
40,1
41,2
42,3
43,4
44,3
45,4
46,5
47,6
48,7
49,6
50,7
51,8
52,9
53,8
54,9
55,8
56,9
57,8
58,9
59,8
60,9
61,8
62,9
63,8
64,7
65,8
66,7
67,8
68,9
69,8
70,7
71,6
72,5
73,6
74,7
75,6
76,5
77,4
78,3
79,2
80,1
81,2
82,3
83,4
84,5
85,6
86,7
87,6
88,7
89,8
90,7
91,6
92,5
93,4
94,3
95,2
96,1
97,0
98,1
99,2
100,3
101,4
102,3
103,2
104,3
105,2
106,3
107,4
108,5
109,6
110,5
111,6
112,7
113,8
114,9
115,8
116,9
117,8
118,9
119,8
120,9
121,8
122,9
123,8
124,9
125,8
126,9
127,8
128,9
129,8
130,9
131,8
132,9
133,8
134,9
135,8
136,9
137,8
138,7
139,8
140,9
141,8
142,9
143,10
144,9
145,10
146,9
147,10
148,9
149,8
150,9
151,8
152,9
153,8
154,7
155,6
156,5
157,4
158,3
159,2
160,1
161,2
162,3
163,4
164,5
165,6
166,7
167,8
168,9
169,8
170,9
171,8
172,7
173,8
174,7
175,8
176,9
177,8
178,7
179,8
180,9
181,10
182,9
183,8
184,9
185,10
186,9
187,8
188,9
189,10
190,9
191,8
192,7
193,6
194,5
195,6
196,5
197,6
198,7
199,6
200,7
201,8
202,9
203,8
204,9
205,8
206,9
207,8
208,9
209,10
210,9
211,8
212,9
213,8
214,7
215,6
216,5
217,4
218,3
219,2
220,1
221,0
222,1
223,2
224,3
225,2
226,1
227,0
228,1
229,2
230,3
231,4
232,5
233,6
234,7
235,8
236,9
237,8
238,9
239,10
240,9
241,8
242,7
243,6
244,5
245,4
246,3
247,2
248,3
249,4
250,5
251,6
252,7
253,8
254,7
255,8
256,7
257,6
258,7
259,6
260,5
261,4
262,3
263,2
264,1
265,0
266,1
267,2
268,1
269,2
270,3
271,4
272,5
273,6
274,7
275,8
276,9
277,8
278,7
279,6
280,5
281,4
282,3
283,2
284,3
285,2
286,3
287,4
288,3
289,4
290,3
291,4
292,5
293,4
294,5
295,6
296,7
297,8
298,7
299,8
300,9
301,8
302,9
303,8
304,9
305,8
306,9
307,10
308,9
309,8
310,9
311,8
312,9
313,8
314,7
315,8
316,7
317,8
318,9
319,8
320,9
321,8
322,9
323,8
324,9
325,8
326,9
327,8
328,9
329,8
330,9
331,8
332,9
333,8
334,9
335,10
336,9
337,8
338,7
339,6
340,7
341,6
342,7
343,6
344,7
345,8
346,9
347,8
348,9
349,10
350,9
351,8
352,9
353,8
354,9
355,10
356,9
357,8
358,7
359,8
360,9
361,10
362,9
363,8
364,9
365,10
366,9
367,10
368,9
369,8
370,7
371,6
372,5
373,4
374,3
375,2
376,1
377,0
378,1
379,2
380,3
381,4
382,5
383,6
384,5
385,6
386,7
387,8
388,7
389,8
390,9
391,8
392,9
393,8
394,9
395,8
396,9
397,10
398,9
399,10
400,9
401,10
402,9
403,10
404,9
405,10
406,9
407,10
408,9
409,8
410,9
411,10
412,9
413,10
414,9
415,8
416,9
417,10
418,9
419,10
420,9
421,10
422,9
423,8
424,7
425,6
426,5
427,4
428,3
429,2
430,1
431,2
432,3
433,4
434,5
435,6
436,7
437,8
438,9
439,10
440,9
441,10
442,9
443,10
444,9
445,10
446,9
447,10
448,9
449,8
450,7
451,6
452,7
453,6
454,5
455,4
456,5
457,4
458,5
459,6
460,7
461,6
462,7
463,8
464,9
465,8
466,9
467,8
468,9
469,8
470,7
471,6
472,7
473,6
474,5
475,6
476,5
477,6
478,7
479,6
480,7
481,8
482,9
483,8
484,9
485,8
486,9
487,8
488,7
489,8
490,7
491,6
492,7
493,6
494,7
495,6
496,7
497,8
498,9
499,8
500,9
501,8
502,9
503,8
504,7
505,6
506,5
507,4
508,3
509,2
510,1
511,0
512,1
513,2
514,3
515,4
516,3
517,2
518,3
519,4
520,3
521,4
522,3
523,4
524,5
525,6
526,7
527,8
528,9
529,10
530,9
531,8
532,9
533,10
534,9
535,10
536,9
537,8
538,9
539,10
540,9
541,10
542,9
543,10
544,9
545,10
546,9
547,10
548,9
549,10
550,9
551,10
552,9
553,10
554,9
555,8
556,9
557,10
558,9
559,8
560,9
561,10
562,9
563,10
564,9
565,10
566,9
567,8
568,9
569,8
570,9
571,10
572,9
573,10
574,9
575,10
576,9
577,10
578,9
579,8
580,9
581,10
582,9
583,10
584,9
585,10
586,9
587,10
588,9
589,10
590,9
591,10
592,9
593,10
594,9
595,10
596,9
597,10
598,9
599,10
600,9
601,10
602,9
603,8
604,7
605,6
606,5
607,4
608,3
609,2
610,1
611,0
612,1
613,2
614,3
615,4
616,3
617,4
618,5
619,6
620,7
621,8
622,9
623,8
624,9
625,10
626,9
627,10
628,9
629,10
630,9
631,10
632,9
633,10
634,9
635,8
636,9
637,10
638,9
639,10
640,9
641,10
642,9
643,10
644,9
645,10
646,9
647,10
648,9
649,10
650,9
651,10
652,9
653,8
654,9
655,10
656,9
657,10
658,9
659,10
660,9
661,10
662,9
663,10
664,9
665,8
666,9
667,10
668,9
669,8
670,9
671,10
672,9
673,8
674,9
675,10
676,9
677,10
678,9
679,10
680,9
681,10
682,9
683,10
684,9
685,10
686,9
687,8
688,9
689,10
690,9
691,8
692,9
693,10
694,9
695,8
696,9
697,10
698,9
699,10
700,9
701,10
702,9
703,10
704,9
705,8
706,7
707,6
708,5
709,4
710,3
711,2
712,1
713,0
714,1
715,2
716,3
717,4
718,5
719,4
720,5
721,4
722,5
723,4
724,5
725,6
726,7
727,8
728,9
729,10
730,9
731,8
732,7
733,6
734,7
735,8
736,7
737,8
738,9
739,10
740,9
741,8
742,7
743,6
744,5
745,6
746,5
747,6
748,5
749,6
750,7
751,8
752,9
753,8
754,9
755,8
756,9
757,8
758,9
759,8
760,9
761,8
762,9
763,10
764,9
765,10
766,9
767,8
768,7
769,6
770,5
771,6
772,5
773,4
774,3
775,2
776,1
777,0
778,1
779,2
780,3
781,4
782,5
783,6
784,7
785,6
786,7
787,6
788,5
789,4
790,3
791,2
792,1
793,2
794,3
795,4
796,5
797,6
798,7
799,6
800,7
801,6
802,7
803,8
804,9
805,8
806,9
807,10
808,9
809,8
810,7
811,8
812,9
813,8
814,9
815,10
816,9
817,8
818,7
819,6
820,5
821,6
822,5
823,6
824,5
825,6
826,5
827,6
828,7
829,8
830,9
831,10
832,9
833,8
834,7
835,6
836,7
837,8
838,7
839,8
840,9
841,8
842,9
843,8
844,9
845,10
846,9
847,10
848,9
849,8
850,9
851,10
852,9
853,10
854,9
855,8
856,9
857,8
858,9
859,10
860,9
861,10
862,9
863,8
864,9
865,8
866,7
867,6
868,7
869,8
870,7
871,8
872,9
873,8
874,7
875,8
876,7
877,8
878,9
879,8
880,9
881,8
882,7
883,6
884,5
885,4
886,3
887,2
888,1
889,0
890,1
891,2
892,3
893,2
894,3
895,4
896,5
897,6
898,7
899,8
900,9
901,8
902,9
903,8
904,7
905,8
906,9
907,10
908,9
909,8
910,9
911,8
912,9
913,10
914,9
915,8
916,9
917,8
918,7
919,6
920,5
921,6
922,7
923,8
924,7
925,8
926,9
927,8
928,9
929,8
930,9
931,8
932,9
933,10
934,9
935,8
936,9
937,10
938,9
939,8
940,7
941,6
942,5
943,6
944,7
945,8
946,9
947,8
948,9
949,10
950,9
951,10
952,9
953,8
954,7
955,8
956,9
957,8
958,7
959,8
960,9
961,8
