Operacao,Ocupacao
0,1
1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
9,10
10,11
11,12
12,13
13,14
14,15
15,16
16,17
17,18
18,19
19,20
20,21
21,22
22,23
23,24
24,25
25,26
26,27
27,28
28,29
29,30
30,31
31,32
32,33
33,34
34,35
35,36
36,37
37,38
38,39
39,40
40,41
41,42
42,43
43,44
44,45
45,46
46,47
47,48
48,49
49,50
50,51
51,52
52,53
53,54
54,55
55,56
56,57
57,58
58,59
59,60
60,61
61,62
62,63
63,64
64,65
65,66
66,67
67,68
68,69
69,70
70,71
71,72
72,73
73,74
74,75
75,76
76,77
77,78
78,79
79,80
80,81
81,82
82,83
83,84
84,85
85,86
86,87
87,88
88,89
89,90
90,91
91,92
92,93
93,94
94,95
95,96
96,97
97,98
98,99
99,100
100,99
101,98
102,97
103,96
104,95
105,94
106,93
107,92
108,91
109,90
110,89
111,88
112,87
113,86
114,85
115,84
116,83
117,82
118,81
119,80
120,79
121,78
122,77
123,76
124,75
125,74
126,73
127,72
128,71
129,70
130,69
131,68
132,67
133,66
134,65
135,64
136,63
137,64
138,63
139,64
140,63
141,64
142,65
143,64
144,65
145,66
146,65
147,66
148,67
149,66
150,67
151,68
152,67
153,68
154,69
155,68
156,69
157,70
158,69
159,70
160,71
161,70
162,71
163,72
164,71
165,72
166,73
167,72
168,73
169,74
170,73
171,74
172,75
173,74
174,75
175,76
176,75
177,76
178,77
179,76
180,77
181,78
182,77
183,78
184,79
185,78
186,79
187,80
188,79
189,80
190,81
191,80
192,81
193,82
194,81
195,82
196,83
197,82
198,83
199,84
200,83
201,84
202,85
203,84
204,85
205,86
206,85
207,86
208,87
209,86
210,87
211,88
212,87
213,88
214,89
215,88
216,89
217,90
218,89
219,90
220,91
221,90
222,91
223,92
224,91
225,92
226,93
227,92
228,93
229,94
230,93
231,94
232,95
233,94
234,95
235,96
236,95
237,96
238,97
239,96
240,97
241,98
242,97
243,98
244,99
245,98
246,99
247,98
248,97
249,96
250,95
251,94
252,93
253,92
254,91
255,92
256,91
257,92
258,91
259,92
260,93
261,92
262,93
263,94
264,93
265,94
266,95
267,94
268,95
269,96
270,95
271,96
272,97
273,96
274,97
275,98
276,97
277,98
278,99
279,98
280,99
281,98
282,97
283,96
284,95
285,94
286,95
287,94
288,95
289,94
290,95
291,96
292,95
293,96
294,97
295,96
296,97
297,98
298,97
299,98
300,99
301,98
302,99
303,98
304,97
305,96
306,95
307,96
308,95
309,96
310,97
311,96
312,97
313,98
314,97
315,98
316,99
317,98
318,99
319,98
320,99
321,98
322,99
323,100
324,99
325,100
326,99
327,100
328,99
329,100
330,99
331,98
332,99
333,100
334,99
335,98
336,97
337,96
338,97
339,96
340,97
341,98
342,97
343,98
344,99
345,98
346,99
347,98
348,99
349,98
350,99
351,98
352,99
353,100
354,99
355,100
356,99
357,98
358,97
359,96
360,95
361,94
362,93
363,92
364,91
365,90
366,89
367,88
368,87
369,86
370,85
371,84
372,83
373,82
374,81
375,80
376,81
377,82
378,81
379,82
380,83
381,82
382,83
383,84
384,83
385,84
386,85
387,84
388,85
389,86
390,85
391,86
392,87
393,86
394,87
395,88
396,87
397,88
398,89
399,88
400,89
401,90
402,89
403,90
404,91
405,90
406,91
407,92
408,91
409,92
410,93
411,92
412,93
413,94
414,93
415,94
416,95
417,94
418,95
419,96
420,95
421,96
422,97
423,96
424,97
425,98
426,97
427,98
428,99
429,98
430,99
431,98
432,99
433,98
434,99
435,98
436,99
437,98
438,99
439,98
440,99
441,98
442,99
443,98
444,99
445,98
446,99
447,98
448,99
449,98
450,99
451,98
452,99
453,98
454,99
455,98
456,99
457,98
458,99
459,98
460,99
461,98
462,99
463,98
464,99
465,98
466,99
467,98
468,99
469,98
470,99
471,98
472,99
473,98
474,99
475,98
476,99
477,98
478,99
479,98
480,99
481,98
482,99
483,98
484,99
485,98
486,99
487,98
488,99
489,98
490,99
491,98
492,99
493,98
494,99
495,98
496,99
497,98
498,99
499,98
500,99
501,98
502,99
503,98
504,99
505,98
506,99
507,98
508,99
509,98
510,99
511,98
512,99
513,98
514,99
515,98
516,99
517,98
518,99
519,98
520,99
521,98
522,99
523,98
524,99
525,98
526,99
527,98
528,99
529,100
530,99
531,98
532,97
533,96
534,95
535,94
536,93
537,92
538,91
539,90
540,89
541,88
542,87
543,86
544,85
545,84
546,83
547,82
548,81
549,80
550,79
551,78
552,77
553,76
554,75
555,74
556,73
557,72
558,71
559,70
560,69
561,68
562,67
563,66
564,65
565,64
566,63
567,62
568,61
569,60
570,59
571,58
572,57
573,56
574,55
575,54
576,53
577,52
578,51
579,50
580,49
581,48
582,47
583,46
584,45
585,44
586,43
587,42
588,41
589,40
590,39
591,38
592,37
593,36
594,35
595,34
596,33
597,32
598,31
599,30
600,29
601,28
602,27
603,26
604,25
605,24
606,23
607,22
608,21
609,20
610,19
611,18
612,17
613,16
614,15
615,14
616,13
617,12
618,11
619,10
620,9
621,8
622,7
623,6
624,5
625,4
626,3
627,2
628,1
629,0
630,1
631,2
632,3
633,4
634,5
635,6
636,7
637,8
638,9
639,10
640,11
641,12
642,13
643,14
644,15
645,16
646,17
647,18
648,19
649,20
650,21
651,22
652,23
653,24
654,25
655,26
656,27
657,28
658,29
659,30
660,31
661,32
662,33
663,34
664,35
665,36
666,37
667,38
668,39
669,40
670,39
671,40
672,39
673,40
674,41
675,40
676,41
677,42
678,41
679,42
680,43
681,42
682,43
683,44
684,43
685,44
686,45
687,44
688,45
689,46
690,45
691,46
692,47
693,46
694,47
695,48
696,47
697,48
698,49
699,48
700,49
701,50
702,49
703,50
704,51
705,50
706,51
707,52
708,51
709,52
710,53
711,52
712,53
713,54
714,53
715,54
716,55
717,54
718,55
719,56
720,55
721,56
722,57
723,56
724,57
725,58
726,57
727,58
728,59
729,58
730,59
731,60
732,59
733,60
734,61
735,60
736,61
737,62
738,61
739,62
740,63
741,62
742,63
743,64
744,63
745,64
746,65
747,64
748,65
749,66
750,65
751,66
752,67
753,66
754,67
755,68
756,67
757,68
758,69
759,68
760,69
761,70
762,69
763,70
764,71
765,70
766,71
767,72
768,71
769,72
770,73
771,72
772,73
773,74
774,73
775,74
776,75
777,74
778,75
779,76
780,75
781,76
782,77
783,76
784,77
785,78
786,77
787,78
788,79
789,78
790,79
791,80
792,79
793,80
794,81
795,80
796,81
797,82
798,81
799,82
800,83
801,82
802,83
803,84
804,83
805,84
806,85
807,84
808,85
809,86
810,85
811,86
812,87
813,86
814,87
815,88
816,87
817,88
818,89
819,88
820,89
821,90
822,89
823,90
824,91
825,90
826,91
827,92
828,91
829,92
830,93
831,92
832,93
833,94
834,93
835,94
836,95
837,94
838,95
839,96
840,95
841,96
842,97
843,96
844,97
845,98
846,97
847,98
848,99
849,98
850,99
851,98
852,99
853,100
854,99
855,98
856,97
857,96
858,97
859,98
860,99
861,98
862,97
863,96
864,95
865,94
866,93
867,92
868,91
869,90
870,89
871,88
872,87
873,86
874,85
875,84
876,83
877,82
878,83
879,82
880,83
881,82
882,83
883,84
884,83
885,84
886,85
887,84
888,85
889,86
890,85
891,86
892,87
893,86
894,87
895,88
896,87
897,88
898,89
899,88
900,89
901,90
902,89
903,90
904,91
905,90
906,91
907,92
908,91
909,92
910,93
911,92
912,93
913,94
914,93
915,94
916,95
917,94
918,95
919,96
920,95
921,96
922,97
923,96
924,97
925,98
926,97
927,98
928,99
929,98
930,99
931,98
932,99
933,98
934,99
935,98
936,99
937,98
938,99
939,98
940,99
941,98
942,99
943,98
944,99
945,98
946,99
947,98
948,97
949,96
950,95
951,94
952,93
953,92
954,91
955,92
956,93
957,94
958,95
959,94
960,95
961,94
