Operacao,Ocupacao
0,1
1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
9,10
10,11
11,12
12,13
13,14
14,15
15,16
16,17
17,18
18,19
19,20
20,21
21,22
22,23
23,24
24,25
25,26
26,27
27,28
28,29
29,30
30,31
31,32
32,33
33,34
34,35
35,36
36,37
37,38
38,39
39,40
40,41
41,42
42,43
43,44
44,45
45,46
46,47
47,48
48,49
49,50
50,51
51,52
52,53
53,54
54,55
55,56
56,57
57,58
58,59
59,60
60,61
61,62
62,63
63,64
64,65
65,66
66,67
67,68
68,69
69,70
70,71
71,72
72,73
73,74
74,75
75,76
76,77
77,78
78,79
79,80
80,81
81,82
82,83
83,84
84,85
85,86
86,87
87,88
88,89
89,90
90,91
91,92
92,93
93,94
94,95
95,96
96,97
97,98
98,99
99,100
100,99
101,98
102,97
103,96
104,95
105,94
106,93
107,92
108,91
109,90
110,89
111,88
112,87
113,86
114,85
115,84
116,83
117,82
118,81
119,80
120,79
121,78
122,77
123,76
124,75
125,74
126,73
127,72
128,71
129,70
130,69
131,68
132,67
133,66
134,65
135,64
136,63
137,62
138,61
139,60
140,61
141,60
142,61
143,60
144,61
145,60
146,59
147,60
148,59
149,58
150,59
151,58
152,57
153,58
154,57
155,56
156,57
157,56
158,55
159,56
160,55
161,54
162,55
163,54
164,53
165,54
166,53
167,52
168,53
169,52
170,51
171,52
172,51
173,50
174,51
175,50
176,49
177,50
178,49
179,48
180,49
181,48
182,47
183,48
184,47
185,46
186,47
187,46
188,45
189,46
190,45
191,44
192,45
193,44
194,43
195,44
196,43
197,42
198,43
199,42
200,41
201,42
202,41
203,40
204,41
205,40
206,39
207,40
208,39
209,38
210,39
211,38
212,37
213,38
214,37
215,36
216,37
217,36
218,35
219,36
220,35
221,34
222,35
223,34
224,33
225,34
226,33
227,32
228,33
229,32
230,31
231,32
232,31
233,30
234,31
235,30
236,29
237,30
238,29
239,28
240,29
241,28
242,27
243,28
244,27
245,26
246,27
247,26
248,25
249,26
250,25
251,24
252,25
253,24
254,23
255,24
256,23
257,22
258,23
259,22
260,21
261,22
262,21
263,20
264,21
265,20
266,19
267,20
268,19
269,18
270,19
271,18
272,17
273,18
274,17
275,16
276,17
277,16
278,15
279,16
280,15
281,14
282,15
283,14
284,13
285,14
286,13
287,12
288,13
289,12
290,11
291,12
292,11
293,10
294,11
295,10
296,9
297,10
298,9
299,8
300,9
301,8
302,7
303,8
304,7
305,6
306,7
307,6
308,5
309,6
310,5
311,4
312,5
313,4
314,3
315,4
316,3
317,2
318,3
319,2
320,1
321,2
322,1
323,2
324,3
325,4
326,5
327,6
328,5
329,6
330,5
331,4
332,5
333,4
334,3
335,4
336,3
337,2
338,3
339,2
340,1
341,2
342,1
343,2
344,3
345,4
346,5
347,6
348,7
349,8
350,9
351,8
352,9
353,8
354,9
355,8
356,9
357,8
358,7
359,8
360,7
361,6
362,7
363,6
364,5
365,6
366,5
367,4
368,5
369,4
370,3
371,4
372,3
373,2
374,3
375,2
376,1
377,2
378,1
379,2
380,1
381,2
382,1
383,2
384,1
385,2
386,1
387,2
388,1
389,2
390,1
391,0
392,1
393,2
394,3
395,4
396,5
397,6
398,7
399,8
400,9
401,10
402,11
403,12
404,13
405,14
406,15
407,16
408,17
409,18
410,19
411,20
412,21
413,22
414,23
415,24
416,25
417,26
418,27
419,28
420,29
421,30
422,31
423,32
424,33
425,34
426,33
427,34
428,33
429,32
430,33
431,32
432,31
433,32
434,31
435,30
436,31
437,30
438,29
439,30
440,29
441,28
442,29
443,28
444,27
445,28
446,27
447,26
448,27
449,26
450,25
451,26
452,25
453,24
454,25
455,24
456,23
457,24
458,23
459,22
460,23
461,22
462,21
463,22
464,21
465,20
466,21
467,20
468,19
469,20
470,19
471,18
472,19
473,18
474,17
475,18
476,17
477,16
478,17
479,16
480,15
481,16
482,15
483,14
484,15
485,14
486,13
487,14
488,13
489,12
490,13
491,12
492,11
493,12
494,11
495,10
496,11
497,10
498,9
499,10
500,9
501,8
502,9
503,8
504,7
505,8
506,7
507,6
508,7
509,6
510,5
511,6
512,5
513,4
514,5
515,4
516,3
517,4
518,3
519,2
520,3
521,2
522,1
523,2
524,1
525,2
526,1
527,2
528,1
529,2
530,1
531,2
532,1
533,2
534,1
535,0
536,1
537,2
538,3
539,4
540,5
541,6
542,7
543,8
544,7
545,6
546,5
547,4
548,3
549,2
550,1
551,0
552,1
553,2
554,3
555,4
556,5
557,6
558,7
559,8
560,9
561,10
562,11
563,12
564,13
565,14
566,15
567,16
568,17
569,18
570,19
571,20
572,21
573,22
574,23
575,24
576,25
577,26
578,27
579,28
580,29
581,30
582,31
583,32
584,33
585,34
586,35
587,36
588,37
589,38
590,39
591,40
592,41
593,42
594,43
595,44
596,45
597,46
598,47
599,48
600,49
601,50
602,51
603,52
604,53
605,54
606,55
607,56
608,57
609,58
610,59
611,60
612,61
613,62
614,63
615,64
616,65
617,66
618,67
619,68
620,69
621,70
622,71
623,72
624,73
625,74
626,75
627,76
628,77
629,78
630,79
631,80
632,79
633,80
634,79
635,80
636,79
637,78
638,79
639,78
640,77
641,78
642,77
643,76
644,77
645,76
646,75
647,76
648,75
649,74
650,75
651,74
652,73
653,74
654,73
655,72
656,73
657,72
658,71
659,72
660,71
661,70
662,71
663,70
664,69
665,70
666,69
667,68
668,69
669,68
670,67
671,68
672,67
673,66
674,67
675,66
676,65
677,66
678,65
679,64
680,65
681,64
682,63
683,64
684,63
685,62
686,63
687,62
688,61
689,62
690,61
691,60
692,61
693,60
694,59
695,60
696,59
697,58
698,59
699,58
700,57
701,58
702,57
703,56
704,57
705,56
706,55
707,56
708,55
709,54
710,55
711,54
712,53
713,54
714,53
715,52
716,53
717,52
718,51
719,52
720,51
721,50
722,51
723,50
724,49
725,50
726,49
727,48
728,49
729,48
730,47
731,48
732,47
733,46
734,47
735,46
736,45
737,46
738,45
739,44
740,45
741,44
742,43
743,44
744,43
745,42
746,43
747,42
748,41
749,42
750,41
751,40
752,41
753,40
754,39
755,40
756,39
757,38
758,39
759,38
760,37
761,38
762,37
763,36
764,37
765,36
766,35
767,36
768,35
769,34
770,35
771,34
772,33
773,34
774,33
775,32
776,33
777,32
778,31
779,32
780,31
781,30
782,31
783,30
784,29
785,30
786,29
787,28
788,29
789,28
790,27
791,28
792,27
793,26
794,27
795,26
796,25
797,26
798,25
799,24
800,25
801,24
802,23
803,24
804,23
805,22
806,23
807,22
808,21
809,22
810,21
811,20
812,21
813,20
814,19
815,20
816,19
817,18
818,19
819,18
820,17
821,18
822,17
823,16
824,17
825,16
826,15
827,16
828,15
829,14
830,15
831,14
832,13
833,14
834,13
835,12
836,13
837,12
838,11
839,12
840,11
841,10
842,11
843,10
844,9
845,10
846,9
847,8
848,9
849,8
850,7
851,8
852,7
853,6
854,7
855,6
856,5
857,6
858,5
859,4
860,3
861,2
862,1
863,0
864,1
865,2
866,3
867,4
868,5
869,6
870,7
871,8
872,9
873,10
874,11
875,12
876,13
877,14
878,15
879,16
880,17
881,18
882,19
883,20
884,21
885,22
886,23
887,24
888,25
889,26
890,27
891,28
892,29
893,28
894,27
895,28
896,27
897,26
898,25
899,24
900,25
901,26
902,25
903,24
904,25
905,24
906,23
907,24
908,23
909,22
910,21
911,20
912,19
913,18
914,17
915,16
916,15
917,14
918,13
919,12
920,11
921,10
922,9
923,8
924,7
925,6
926,5
927,4
928,3
929,2
930,1
931,0
932,1
933,2
934,3
935,4
936,3
937,4
938,3
939,4
940,3
941,2
942,1
943,2
944,1
945,2
946,1
947,2
948,3
949,4
950,5
951,4
952,5
953,4
954,5
955,4
956,3
957,4
958,3
959,2
960,3
961,2
